Modul;Frage;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Erkläre den Kontraktionsmechanismus des Muskels;Beim aktiven Ziehen des Muskels werden im einzelnen Sarkomer die Filamente übereinander geschoben.;Dabei setzen die Myosinfilamente mit ihren Köpfchen an den Aktinfilamenten an (Querbrückenbildung) und ziehen diese durch eine Abkipp-Bewegung von beiden Seiten her zum Zentrum des Sarkomers und lösen sich wieder.;Myosinköpfchen agieren ähnlich wie die Rudermannschaft bei einem Bootsrennen.  Ein dickes Filament ist etwa mit 500 Myosinköpfchen ausgestattet. Führen diese in ihrer Gesamtheit einen Ruderschlag aus, so kann ein Sarkomer gerade mal um 1% zusammengezogen werden.;Für ein grösstmögliches Zusammenziehen, also eine maximale Kontraktion, sind etwa 50 solcher Ruderschläge notwendig.;So kann eine gegen das Sarkozentrum gerichtete Längenveränderung von bis zu 40% erreicht werden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die Hauptaugabe der Sehnen;Die Kraftübertragung vom Muskel auf Knochen, um Bewegung zu ermöglichen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne den Aufbau und die Zusammensetzung der Sehnen;vorkommend als Stränge oder Platten (Aponeurosen);überwiegend aus Fasern bestehend, welche wellenförmig angeordnet sind;zwischen kollagenen Fasern verlaufen auch elastische Fasern, welche die Sehne nach Dehnung wieder in die Ausgangslänge bringen;Sehnen sind unterschiedlich gut innerviert und mit Blutgefässen ausgestattet (je nach Lage);näher am Knochen liegendes Sehnengewebe ist stärker durchblutet, weil näher am Muskel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die Reaktion von Sehnen auf regelmässige physiologisch sinnvolle Belastung;Sehnengewebe wird angepasst und umgebaut;Sehnen werden reissfester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was sind Sehnenscheiden?;Hilfseinrichtungen der Kraftübertragung im aktiven Bewegungsapparat;Gleithüllen, welche die Sehne an stark belasteten Orten umfasst;ermöglichen reibungsloses bewegen durch eine Art Gleitflüssigkeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist ein Schleimbeutel?;Hilfseinrichtungen der Kraftübertragung im aktiven Bewegungsapparat;kleinen Wasserkissen ähnlich;mit festeren bindegewebigen Aussenschicht und Synovia ähnlicher Flüssigkeit im Innern;an Orten, an welchen Druckbelastungen dauerhaft abgefangen werden müssen (Bsp. Kniegelenk);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was sind Faszien?;Hilfseinrichtungen der Kraftübertragung im aktiven Bewegungsapparat;trennen die einzelnen Muskeln oder Muskelgruppen voneinander;umfassen den Muskel samt Sehnenscheiden und Sehnen;sorgen für optimals Gleitverhalten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was unterscheidet - neben Struktur - die quergestreifte von der glatten Muskulatur;quergestreifte Muskulatur (Skelett) kann willkürlich gesteuert werden;glatte Muskulatur (innere Organe) arbeitet unwillkürlich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die Hauptaufgabe des Muskels;Kontraktion;die Aktivierung der kontraktilen Elemente der einzelnen Muskelzellen und somit Spannungsaufbau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die Kontraktionsformen des Muskels;Ruhelage;Dehnung eines passiven Muskels;Konzentrische Kontraktion;Exzentrische Kontraktion;Isometrische Kontraktion;Isotonische Kontraktion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist die konzentrische Kontraktion?;konzentrisch = positiv dynamisch, überwindend;Spannungsaufbau führt zu Längenveränderung (Verkürzung);Muskelursprung und Muskelansatz nähern sich an;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist die exzentrische Kontraktion?;exzentrisch = negativ dynamisch, nachgebend;Muskel ist stets unter Spannung;Muskelursprung und Muskelansatz entfernen sich voneinander;kann aus bewusster Steuerung resultieren oder aus Überforderung, aufgrund zu hoher Belastung und somit um zu hoher Belastung aktiv entgegen zu wirken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist die isometrische Kontraktion?;isometrisch = statisch, haltend (Muskelspannung steigt stark an);Muskelspannung führt zu keiner Längenveränderung von Ursprung und Ansatz;kontraktile Elemente ziehen sich zusammen, während elastische gleichzeitig gedehnt werden;eine Art Gleichgewicht im Muskel;Bsp. Tragen einer schweren Kiste vor der Brust;Bsp. Wanddrücken, Unterarmstütz (Plank);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist die isotonische Kontraktion?;isotonisch = gleiche Spannung (Muskelspannung bleibt konstant);Der Muskel verkürzt sich, aber die Kraft bleibt gleich.;Bsp. Anheben der Kiste vom Boden;Bsp. Klimmzug, Kniebeuge, Laufen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne den Unterschied zwischen isometrischer und isotonischer Kontraktion;Hauptunterschied, ob sich die Länge oder die Spannung des Muskels während der Arbeit verändert;Reine isotonische Kontraktionen gibt es im Alltag fast nie. Sobald sich ein Gelenk bewegt, ändern sich durch die Hebelwirkung auch die physikalischen Schwerkraftverhältnisse (= auxotonische Kontraktion).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist die auxotonische Kontraktion?;Kombination von konzentrischer und exzentrischer Kontraktion;bei üblichen Bewegungsformen im Alltag und im Training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist ein Agonist?;Hauptakteur einer Bewegung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist ein Antagonist?;Zulasser der Bewegung;Ausführer der Gegenbewegung des Agonisten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist ein Synergist?;Unterstützer einer Bewegung und ermöglicher einer Bewegung durch Kontrolle von Körperhaltung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Warum ist die übliche Aufteilung in Agonist, Antagonist und Synergist ungenau / vereinfachend?;Je nach Bewegung ist die Bestimmung eines eindeutigen Agonisten schwierig.;So kann der Ausfall eines 'lediglich' mitbeteiligten Muskels mitunter dafür sorgen, dass die Bewegung gar nicht, oder nicht wie erwünscht durchgeführt werden kann.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die Hauptaufgabe von Blut;Transport vitaler Stoffe (Sauerstoff, Kohlendioxid, Nährstoffe, Wasser, Stoffwechselprodukte, Vitamine, Blutsalze;Wärmetransport (Heizung-Kühlung);Transport von Hormonen;Pufferung gegen Übersäuerung;Transport immunrelevanter Stoffe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Weshalb tritt Muskelkater auf?;mikroskopisch kleine Risse in den Muskelfasern, die durch ungewohnte oder besonders intensive Belastungen entstehen;Diese Miniverletzungen (Mikrotraumata) treten vor allem bei den kleinsten Bauelementen des Muskels, den sogenannten Z-Scheiben der Sarkomere auf.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Warum tritt Muskelkater-Schmerz 1 - 2 Tage verzögert auf?;Entsteht durch Regenerationsprozess;Entzündung und Flüssigkeitsansammlung (Ödembildung) in den beschädigten Strukturen verursachen Dehnungsschmerzen von bis zu einer Woche;liefern Hinweis den betroffenen Muskel zu schonen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Nenne die verschiedenen typen von Muskelfasern;ST-Fasern = rote, langsam zuckende Muskelfasern, aerob arbeitende, ausdauernde Fasern;FT-Fasern = weisse, schnell zuckende Muskelfasern, eher anaerob arbeitende Fasern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist notwendig, damit eine Bewegung entstehen kann?;Gelenk;Muskulatur, welche über das Gelenk zieht;Impuls;Energie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist Flexion?;Beugung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist Extension?;Streckung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist Rotation?;Drehung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist Adduktion?;an den Körper heranziehen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist Abduktion?;vom Körper wegspreizen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist Supination?;Drehung des Unterarmes, so dass der Handteller nach oben zeigt;(Suppe essen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist Pronation?;Drehung des Unterarmes, so dass der Handteller nach unten zeigt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Was ist lateral Flexion?;Seitneigung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart I;Übung Foto: fehlende Muskeln benennen;"M. trapezius; M. obliquus externus abdominis; M. soleus; M. triceps brachii; M. deltoideus; M. erector spinae; M. latissimus dorsi; M. gluteus maximus; M. semi-membranosus; M. biceps femoris, M. gastrocnemius";"M. biceps brachii; M. triceps brachii; M. latissimus dorsi; M. pectoralis major; M. obliquus externus abdominis; M. rectus femoris; M. deltoideus; M. biceps brachii; M. rectus abdominalis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Was ist eine Zelle?;kleinste eigenständige und lebensfähige Funktionseinheit des Körpers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Was sind Organellen?;Bestandteile einer Zelle mit bestimmten Aufgaben;Bsp. Zellkern (Erbinformation der Zelle;Bsp. Mitochondrien (aerobe Zellatmung);Bsp. Ribosomen (Proteinsynthese);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Was sind Gewebe?;grössere Systemeinheiten von zusammengehörigen Zellen, welche dieselbe Arbeit verrichten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Welche Gewebearten kennst du?;Epithelgewebe = Oberflächen (Haut)-, Drüsen- und Sinnesepithelien;Binde- und Stützgewebe = lockeres Bindegewebe (Organhohlräume), straffes Bindegewebe (Sehnen), retikuläres Bindegewebe (Lymphorgane), Fettgewebe, Knorpel, Knochen;Muskelgewebe = glatte Muskulatur (innere Organe), Herzmuskulatur, quergestreifte Muskulatur (Skelettmuskulatur);Nervengewebe = Nervenzellen uznd Stützzellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Nenne die Gewebeart von Knochen;Stütz- und Bindegewebe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Was ist Arthrose?;degenerative Gelenksveränderung infolge mechanischer Überbelastung der beteiligten Strukturen;betroffen ist in erster Linie Gelenksknorpel;in fortgeschrittenem Stadium kann es zu Veränderungen des Knochens kommen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Weshalb wird Arthrose oft erst im fortgeschrittenen Stadium durch Folgebeschwerden erkannt?;Knorpelabbau ist nicht direkt spürbar, weil Knorpelgewebe nicht innerviert ist;somit werden keine Scherzimpulse weitergeleitet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Was sind Syndesmosen?;Bandhaften;Knochenverbindungen durch straffes, kollagenfaseriges Bindegewebe;Bsp. Schädelnähte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Was sind Synchondrosen?;Knorpelhaften;Knochenverbindungen durch Knorpelgewebe;Bsp. Schambeinfuge (Symphyse), Bandscheibe (Discus intervertebralis);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Was sind Synostosen?;Knochenhaften;Knochenverbindungen durch Knochengewebe;= Verknöcherung von ursprünglich faserigem Bindegewebe;Bsp. Kreuzbein (Os sacrum);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Was bedeutet Skoliose?;Abweichung der Wirbelsäule in der Rückenansicht im Sinne einer seitlichen Verbiegung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Nenne die Aufgaben der Wirbelsäule;hält Rumpf aufrecht über der Stützbasis der Füsse;federt als Stossdämpfer vor allem senkrecht wirkende Belastungen ab;schützt gegen oben das Hirn vor Erschütterungseinwirkungen;trägt als Teil des Rumpfes sowohl Kopf als auch obere Gliedmassen;leitet Gewichtsbelastung (aufrechter Gang plus Schwerkraft) über das Becken und die Beine weiter;beherbergt und schützt das Rückenmark und die durch den Wirbelkanal führenden Nervenstränge des zentralen Nervensystems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Was ist das Rückenmark?;Teil des zentralen Nervensystems aus dem die Spinalnerven, die Hauptstränge des peripheren Nervensystems verzweigen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Welches sind die Hauptaufgaben des aktiven Bewegungsapparates?;Bewegung des passiven Bewegungsapparates;funktionelle Ausrichtung der Gelenkstrukturen;Stabilisation der Gelenkstrukturen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Repetitionsfragen Heart I;Wie ist der strukturelle Aufbau einer Muskelfaser?;jede Muskelfaser besteht aus parallel angeordneten faserartigen Strukturen;diese fadenartigen Elemente werden Myofibrillen genannt, sie sind gegliedert in kleinste Abteile;diese werden Sarkomere genannt, sie sind aneinander gereiht und unterteilen die Myofibrillen quer (wie eine Reihenhaussiedlung);diese Musterung erklärt die Bezeichnung: quergestreifte Muskulatur;das Sarkomer ist als kleinstes kontraktiles Element im Muskel für das Zusammenziehen und somit für die Bewegung verantwortlich;das Sarkomer wird zu beiden Seiten durch die Z-Scheiben begrenzt und misst etwa 2.5 Mikrometer;innerhalb des Sarkomers findet man eine regelmässige anordnung von dünnen Aktin- und dickeren Myosinfilamenten mit ihren Myosinköpfchen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Nenne den speziellen Mechanismus des Kniegelenks;Roll-Gleit-Mechanismus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Welche Bewegungen sind im Kniegelenk wann möglich?;gestrecktes Knie: Beugung-Streckung;gebeugtes Knie: plus Rotation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Nenne die Funktion der Menisken;Optimierung der Druckverteilung innerhalb des Roll-Gleit-Mechanismus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Nenne die Hauptaufgabe der Kreuzbänder;Unterstützen als Führungselemente die Gleitbewegung zwischen Ober- und Unterschenkel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was ist das besondere des Schultergelenks?;beweglichstes Gelenk des Körpers;ca. 30% Überdachung;muss muskulär stabilisiert werden;Die lokalen Stabilisatoren sind die Muskeln der Rotatorenmanschette.;Die Rotatorenmanchette zentriert den Humeruskopf auf die Pfanne.;Die Abduktion des Armes ist eine Kombinationsbewegung von Schultergelenk, Schulterblatt und Brustwirbelsäule (Humeroskapularer Rhythmus);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Nenne die Aufgabe des Nervensystems (NS);übergeordnete Steuerungs- und Kontrollinstanz des Körpers;In Zusammenarbeit mit dem Hormonsystem regelt es die Leistung aller Organsysteme.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Wie lässt sich das Nervensystem unterteilen?;Das Nervensystem wird anatomisch in das Zentrale Nervensystem (ZNS) zur Informationsverarbeitung und das Periphere Nervensystem (PNS) zur Signalerweiterung unterteilt.;Funktionell unterscheider man zwischen dem somatischen (willkürlichen) und dem vegetativen (unwillkürlichen) Nervensystem.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was ist das vegetative Nervensystem und was ist seine Aufgabe?;autonomes NS;Unwillkürliche Steuerzentrale des Körpers im ZNS und PNS;steuert lebenswichtige Organfunktionen wie Atmung, Kreislauf, Stoffwechsel, Wasserhaushalt etc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Aus welchen drei funktionellen Anteilen besteht das vegetative Nervensystem?;Sympathicus (aktivierend);Parasympathicus (hemmend);Enterisches NS (Darmnervensystem);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was gehört zum ZNS?;Gehirn und Rückenmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was gehört zum PNS?;alle Nervenbahnen ausserhalb der Wirbelsäule;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was ist das Rückenmark?;Teil des zentralen Nervensystems aus dem die Spinalnerven, die Hauptstränge des peripheren Nervensystems verzweigen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Wie heissen die zum Gehirn zuführenden Nervenbahnen?;afferente Nervenbahnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Wie heissen die vom Gehirn wegführenden Nervenbahnen?;efferente Nervenbahnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Wie nennt man das Zusammenspiel von zuführenden und wegführenden Impulsen?;Sensomotorik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was ist Sensomotorik?;Zusammenspiel von Sinneswahrnehmungen (Sensorik) und Bewegungsabläufen (Motorik) im Körper.;geschlossener Regelkreis, bei dem Reize aufgenommen, im Gehirn verarbeitet und direkt in Muskelaktivität umgesetzt werden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Wo docken die Synapsen an?;An den Muskelzellen der Muskelfasern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was ist eine motorische Einheit?;Eine einzelne Nervenzelle steuert gleichzeitig mehrere Muskelzellen (Fasern);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was bedeutet 'alles-oder-nichts-Prinzip (motorische Einheit)?;wird eine bestimmte Reizschwelle überschritten, so reagieren alle angesprochenen Zellen gleichzeitig mit Kontraktion über alle Sarkomere;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Welche Aufgaben übernimmt das Grosshirn im ZNS?;Grosshirn ist der Sitz des Bewusstseins;es verarbeitet Sinneseindrücke;steuert Bewegungsabläufe;ist zuständig für bewusste Empfindungen, Handlungen, Wille, Kreativität und Gedächtnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was bedeutet Sensibilität und Tiefensensibilität?;Sensibilität und Tiefensensibilität beschreiben die Fähigkeit Veränderungen in der Umwelt oder im Körperinnern wahrzunehmen.;Diese Sinneswahrnehmungen werden über einzelne Sinneszellen (Rezeptoren) oder dafür zuständige Organe (Bsp. Gleichgewichtsorgan) vermittelt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was ist der Sympaticus?;aktiver, leistungsfördernder Teil des vegetativen Nervensystems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was ist der Parasympaticus?;hemmender, ruhiger Teil des vegetativen Nervensystems;zuständig für Organfunktionen;ermöglicht Regeneration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Unterschiedliche Systeme im Körper benötigen unterschiedlich lange für Trainingsanpassungen. Welches System passt sich zuerst an?;Nervensystem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Welche Auswirkungen zeigt die Ermüdung im Training?;koordinative Fähigkeiten vermindern sich;Reaktionszeiten verlängern sich;Konzentrationsfähigkeit lässt nach;Lernfähigkeit (motorisch und mental) nimmt ab;Bewegungsabläufe verlangsamen sich;Qualität der Ausführung verschlechtert sich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was sind Hormone?;Biochemische Botenstoffe des Körpers;über die Ausschüttung in die Blutbahn übermitteln sie Informationen an bestimmte Organe oder Gewebe;steuern verschiedene / alle Körpervorgänge;Bsp: Regulation des Blutzuckerspiegels, Menstruationszyklus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Wie arbeiten Hormone?;Hormone werden als Botenstoffe im Körper verteilt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Nenne 3  Hormone, ihren Bildungsort und ihre Wirkung;"Adrenalin, gebildet im Nebennierenmark; Stresshormon, Steigerung der Herzfrequenz, Anstieg des Blutdrucks, Erweiterung der Bronchien, schnelle Bereitstellung von Energiereserven durch Fettabbau (Lipolyse), Freisetzung von Glucose";Insulin, gebildet in der Bauchspeicheldrüse, Senkung des Blutzuckerspiegels, Gegenspieler des Glukagons;Glukagon, gebildet in der Bauchspeicheldrüse, Erhöhung des Blutzuckerspiegels, Gegenspieler des Insulins;Leptin, gebildet in den Fettzellen, hemmt das Auftreten von Hungergefühlen und spielt eine wichtige Rolle bei der Regulierung des Fettstoffwechsels;Endorphine, gebildet in der Hypophyse und im Nervensystem, wirken stark schmerzstillend, sind an verschiedenen vegetativen Prozessen beteiligt, u.a. Regulation der Körpertemperatur, Steuerung von Antrieb und Verhalten;Cortison, gebildet in der Nebennierenrinde, Abbau von Eiweissen in der Muskulatur, Abbau von Fett aus den peripheren Fettdepots (Lipolyse), Erhöhung der Glukosekonzentration im Blut, antientzündlicher Effekt bei Verletzungen;Östrogene, gebildet in den Eierstöcken, Oberbegriff für die wichtigsten weiblichen Geschlechtshormone, beeinflussen u.a. Brustentwicklung, monatlichen Zyklus, typisches weibliches Erscheinungsbild in Figur, Haut und Behaarung;Testosteron, gebildet in den Hoden, wichtigstes männliches Geschlechtshormon, Entwicklung der Geschlechtsorgane, Ausbildung der Geschlechtsmerkmale (Behaarung, und Fettverteilungsmuster, tiefe Stimme) und die Samenbildung, erhöht die Muskelmasse und senkt das Cholestrin im Blut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was ist die Hauptfunktion des Lymphsystems?;Das Lymphsystem hat drei Hauptfunktionen: die Immunabwehr, den Flüssigkeitstransport und den Fetttransport.;Es arbeitet eng mit dem Herz-Kreislauf-System zusammen und ist ein wesentlicher Teil der Körperabwehr.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was wird durch das Lymphgefässsystem transportiert?;Plasmaprotein;gelöste Salze;Bakterien;Zelltrümmer;Fette aus dem Dünndarm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was sind Lymphknoten?;Zwischenstationen im Lymphgefässsystem;dienen der Bekämpfung von Erregern (Ansammlung weisser Blutkörperchen);sind eigentliche Entgiftungsstationen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Nenne die Aufgaben des Blutes;Transport vieler Stoffe - Sauerstoff, Kohlendioxyd, Nährstoffe, Stoffwechselprodukte, Vitamine, Blutsalze;Regulation der Körpertemperatur (Heizung / Kühlung);Signalübermittlung durch Hormone;Pufferung gegen Übersäuerung;Abwehr körperfremder Stoffe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was ist Hämoglobin?;roter Blutfarbstoff, welcher Sauerstoff an sich bindet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was sind Erythrozyten und was ist ihre Hauptaufgabe?;rote Blutkörperchen, 'Transportbehälter' für Hämoglobin;Transport von Sauerstoff und Kohlendioxyd zwischen Lunge und Gewebe, wozu der rote Blutfarbstoff (Hämoglobin) dient;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Welche Blutdruckwerte werden als 'normal' bezeichnet?;oberer Wert (systolischer Wert) 120 mm HG;unterer Wert (diastolischer Wert) 80 mm HG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Inwiefern wirkt das Blut limitierend auf die Ausdauerleistungsfähigkeit?;Im Blut wird der Sauerstoff durch die roten Blutkörperchen (Erythorzyten) an seine Bestimmungsorte gebracht, Bsp. Muskulatur.;Dabei heftet sich der Sauerstoff zum Transport an den roten Blutfarbstoff (Hämoglobin).;Je höher nun die Anzahl der roten Blutkörperchen desto besser ist die Sauerstoffversorgung im Muskel.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
